name,winery,year,rating,num_ratings,price,type,region
Viña Alberdi Reserva 2014,La Rioja Alta,2014,4.1,1368,14.99,Red,Rioja
Rioja 150 Aniversario 2010,Marqués de Riscal,2010,4.1,1369,59.99,Red,Rioja
Cembali Nero d'Avola 2010,Baglio di Pianetto,2010,4.0,137,24.86,Red,Terre Siciliane
Noà (Tenuta Presti e Pregni) 2016,Cusumano,2016,3.9,137,25.95,Red,Sicilia
Pessac-Léognan 2017,Château Haut-Bailly,2017,4.0,137,131.6,Red,Pessac-Léognan
Russiz Superiore Cabernet Franc Collio 2016,Marco Felluga,2016,3.9,137,23.99,Red,Collio
Tempranillo 2015,Maximo,2015,3.4,137,4.16,Red,Castilla
Haus & Hof Merlot 2018,Hannes Reeh,2018,3.6,137,8.52,Red,Burgenland
Regaleali Nero d'Avola 2016,Tasca d'Almerita,2016,3.5,137,7.52,Red,Terre Siciliane
Montornello Chianti Classico Riserva 2014,Bibbiano,2014,3.8,137,18.97,Red,Chianti Classico
Barbera d'Alba 2017,Enzo Boglietti,2017,3.9,137,17.29,Red,Barbera d'Alba
Saint-Estèphe 2015,Château Le Crock,2015,4.0,137,32.65,Red,Saint-Estèphe
Fronsac 2016,Château Hauchat,2016,3.7,137,10.66,Red,Fronsac
Max Reserva Merlot 2017,Errazuriz,2017,3.7,137,14.9,Red,Aconcagua Valley
El Recio 2018,Matsu,2018,4.1,137,12.2,Red,Toro
Alta Mora Etna Rosso 2017,Cusumano,2017,3.7,137,12.95,Red,Etna
Musigny Grand Cru (Cuveé Vieilles Vignes) 1990,Domaine Comte Georges de Vogüé,1990,4.4,137,995.0,Red,Musigny Grand Cru
Fronsac 2012,Château Moulin Haut-Laroque,2012,3.8,137,19.45,Red,Fronsac
Classic Blaufränkisch 2017,Hans Igler,2017,3.7,137,8.8,Red,Mittelburgenland
El Niño de Campillo Rioja 2018,Campillo,2018,3.6,137,9.99,Red,Rioja
Pietra (Primitivo - Susumaniello) 2016,Menhir,2016,4.1,137,12.9,Red,Salento
Gran Reserva 2012,Protos,2012,4.1,1371,43.8,Red,Ribera del Duero
Grand Cru Sagrada Familia 2015,Caballo Loco,2015,4.4,1372,27.2,Red,Lontue Valley
Cordillera Reserva Especial Carmenère 2017,Miguel Torres,2017,3.7,1375,15.13,Red,Curico Valley
Gran Reserva Cabernet Sauvignon (Selección del Directorio) 2013,Santa Helena,2013,3.5,1377,9.49,Red,Colchagua Valley
Montepulciano d'Abruzzo Marina Cvetic 2016,Masciarelli,2016,4.1,1379,20.4,Red,Montepulciano d'Abruzzo
Single Vineyard Cabernet Franc 2015,Valdivieso,2015,3.9,138,16.38,Red,Colchagua Valley
Nerello Mascalese 2013,Di Giovanna,2013,3.6,138,10.5,Red,Terre Siciliane
Alicante - Mourvèdre 2013,Erasmo,2013,3.5,138,18.0,Red,Maule Valley
Rosso di Montalcino 2017,Collosorbo,2017,4.0,138,17.89,Red,Rosso di Montalcino
Roda I Reserva Rioja 2015,Bodegas Roda,2015,4.4,138,46.5,Red,Rioja
Serpaiolo Rosso Toscana 2017,Serpaia di Endrizzi,2017,3.9,138,9.5,Red,Maremma Toscana
The Villain Cabernet Sauvignon 2015,Hugh Hamilton,2015,3.8,138,17.35,Red,McLaren Vale
Villa Mura Merlot Veneto 2016,Sartori,2016,3.4,138,4.57,Red,Veneto
Red Blend 2015,Badenhorst,2015,3.8,138,24.9,Red,Swartland
Mason Pinot Nero 2017,Manincor,2017,4.1,138,27.2,Red,Südtirol - Alto Adige
Les Rabassières Côtes-du-Rhône Rouge 2017,Maison Bouachon,2017,3.7,138,8.29,Red,Côtes-du-Rhône
Gran Reserva Cabernet Sauvignon 2017,TerraNoble,2017,4.0,138,13.9,Red,Colchagua Valley
Riserva Salice Salentino 2012,Paololeo,2012,4.2,138,11.95,Red,Salice Salentino
Gaudenz Trocken 2016,Knipser,2016,3.8,138,9.8,Red,Pfalz
Zane Valpolicella Ripasso Classico Superiore 2016,Boscaini Carlo,2016,4.2,138,18.95,Red,Valpolicella Ripasso Classico
